Date,Month,Year,Station,Gear,Effort,Count,ID,sex,shell,Condition,weight (g),Carapace width (base) (mm),Carapace width (lateral spines) (mm),Carapace length (mm),Abdomen width (mm),Claw length (mm),Claw Height (mm),Maturity,eggs (Y/N) (L/M/S),egg color,Spong_col,Overy weight (g),Overy color,Ova_dev,GSI,Embyro_day,ovigerous,Year_month
10/20/20,October,2020,DY,Trap,5,1,ORNATUS,F,hard,OK,148.59,97.62,115.24,58.95,41.44,57.32,19.6,M,huge sponge,ORANGE,1,0.9,BEIGE,1,0.605693519,3,ovigerous,2020-10
10/15/21,October,2021,AP,Trap,5,1,SIMILIS,F,NA,"R1,R3",41.7,68,88.3,39.8,28,38.3,11.1,M,Y,ORANGE,1,0.25,ORANGE,3,0.599520384,3,ovigerous,2021-10
10/21/20,October,2020,DY,Trap,5,1,ORNATUS,F,hard,OK,87.74,84.6,100.15,51.11,35.23,46.14,16.25,M,yes,ORANGE,1,0.52,LIGHT ORANGE,2,0.592660132,3,ovigerous,2020-10
10/20/20,October,2020,DY,Trap,5,1,BOCOURTI,F,hard,OK,101.8,63.43,101.58,54.5,36.5,49.2,16.96,m,embryo stage,ORANGE,1,0.6,BEIGE,1,0.589390963,3,ovigerous,2020-10
4/19/21,April,2021,AP,Trap,5,1,BOCOURTI,F,H,R1,98.15,85.95,97.67,52.22,32.74,49.39,16.36,M,L,ORANGE,1,0.57,LIGHT ORANGE,2,0.58074376,3,ovigerous,2021-04
4/19/21,April,2021,BC,Trap,5,1,SIMILIS,F,H,"R1, R2",51.74,71.26,93.64,42.92,25.76,38.6,11.09,M,L,ORANGE,1,0.29,ORANGE,3,0.560494782,3,ovigerous,2021-04
4/20/21,April,2021,BC,Trap,5,1,SIMILIS,F,NA,OK,38.62,64.93,82.15,38.4,25.46,35.27,9.45,M,L,ORANGE,1,0.21,ORANGE,3,0.54375971,3,ovigerous,2021-04
10/13/21,October,2021,AP,Trap,5,1,ORNATUS,F,NA,R1,63.45,78.71,101.5,45.36,33.34,44.78,14.61,M,Y - L,ORANGE,1,0.31,BEIGE,1,0.48857368,3,ovigerous,2021-10
10/13/21,October,2021,AP,Trap,5,1,BOCOURTI,F,NA,L2,88.8,87.83,103.71,51.92,37.77,17.2,45.49,M,Y - L,ORANGE,1,0.31,BEIGE,1,0.349099099,3,ovigerous,2021-10
7/14/21,July,2021,BC,Trap,5,1,SIMILIS,F,H,OK,57.49,74.67,94.5,43.48,30,40.4,13.43,M,S,ORANGE,1,0.1,BEIGE,1,0.173943294,3,ovigerous,2021-07
4/19/21,April,2021,BC,Trap,5,1,SIMILIS,F,H,OK,52.1,71.37,91.25,43.87,27.58,35.83,11.79,M,L,ORANGE,1,0.08,BEIGE,1,0.153550864,3,ovigerous,2021-04
1/20/21,January,2021,AP,Trap,5,1,SAPIDUS,F,H,L1,128.23,97,125,55,40,55,20,M,M,ORANGE,1,0.03,ORANGE,3,2.34E-02,3,ovigerous,2021-01
10/15/21,October,2021,AP,Trap,5,1,ORNATUS,F,NA,OK,48.93,70.4,91.61,40.7,30.76,40.75,14.62,M,Y/L,ORANGE,1,0.01,BEIGE,1,2.04E-02,3,ovigerous,2021-10
4/19/21,April,2021,AP,Trap,5,1,BOCOURTI,F,NA,L1,86.37,84.14,99.12,51.06,32.74,45.45,14.15,M,L,ORANGE,1,0,BEIGE,1,0,3,ovigerous,2021-04
10/21/20,October,2020,DY,Trap,5,1,ORNATUS,F,hard,R1,72.34,79.82,98.2,48.83,33.18,46.70L,13.19,M,med spnge dark,DARK ORANGE,2,1.11,ORANGE,3,1.534420791,9,ovigerous,2020-10
10/13/21,October,2021,AP,Trap,5,1,SIMILIS,F,NA,R1,49.14,71.86,86.12,41.56,31.34,39.48,12.07,M,Y-L,DARK ORANGE,2,0.65,ORANGE,3,1.322751323,9,ovigerous,2021-10
10/15/21,October,2021,DY,Trap,5,1,BOCOURTI,F,NA,OK,86.33,81.59,100.38,50.48,34.74,41.1,12.99,M,Y/L,DARK ORANGE,2,0.69,PALE ORANGE,2,0.799258659,9,ovigerous,2021-10
10/21/20,October,2020,AP,Trap,5,1,SAPIDUS,F,hard,OK,97.34,90.3,116.75,53.17,38.08,48.9,14.85,M,med spnge dark,DARK ORANGE,2,0.73,LIGHT ORANGE,2,0.749948634,9,ovigerous,2020-10
7/13/21,July,2021,BC,Trap,5,1,SIMILIS,F,H,OK,63.14,78.56,95.23,93.21,28.63,42.18,13.19,M,M,DARK ORANGE,2,0.33,BEIGE,1,0.522648084,9,ovigerous,2021-07
4/21/21,April,2021,BC,Trap,5,1,SIMILIS,F,H,OK,66.42,78.15,100.82,45.59,29.44,41.96,14.67,M,L,BROWN,3,1.52,ORANGE,3,2.288467329,12,ovigerous,2021-04
4/21/21,April,2021,BC,Trap,5,1,SIMILIS,F,H,missing R1 and paRt of R2,49.15,71.93,93.79,42.8,30.3,40.7,19.65,M,L,BROWN,3,0.96,DARK ORANGE,3,1.953204476,12,ovigerous,2021-04
4/21/21,April,2021,BC,Trap,5,1,SIMILIS,F,H,OK,63.43,79.2,102.15,45.7,32.4,42.8,15.69,M,L,BROWN,3,1.13,DARK ORANGE,3,1.781491408,12,ovigerous,2021-04
4/21/21,April,2021,BC,Trap,5,1,SIMILIS,F,H,OK,53.85,71.45,94.62,42.6,28.23,37.7,10.84,M,M,BROWN,3,0.75,LIGHT ORANGE,2,1.39275766,12,ovigerous,2021-04
7/13/21,July,2021,AP,Trap,5,1,SAPIDUS,F,H,OK,184.18,107.68,138.89,64.05,41.16,63.01,16.46,M,L,BROWN,3,1.78,BEIGE,1,0.966445868,12,ovigerous,2021-07
10/15/21,October,2021,DY,Trap,5,1,BOCOURTI,F,NA,OK,87.11,88.02,105.06,54.49,39.78,47.54,14.18,M,Y/L,BROWN,3,0.68,BEIGE,1,0.780622202,12,ovigerous,2021-10
7/14/21,July,2021,DY,Trap,5,1,ORNATUS,F,H,OK,117.5,90.59,107.25,55.6,39.04,47.34,16.24,M,L,BROWN,3,0.77,LIGHT ORANGE,2,0.655319149,12,ovigerous,2021-07
10/20/20,October,2020,IM,Trap,5,1,SAPIDUS,F,hard,"R1, L1",83.67,90.54,114.4,53.96,37.74,x,x,M,med spnge dark,BROWN,3,0.46,BEIGE,1,0.549778893,12,ovigerous,2020-10
10/14/21,October,2021,AP,Trap,5,1,BOCOURTI,F,NA,OK,101.37,88.71,105.37,54.59,38.48,45.99,15.47,M,Y/L,BROWN,3,0.39,BEIGE,1,0.38472921,12,ovigerous,2021-10
10/20/20,October,2020,AP,Trap,5,1,BOCOURTI,F,hard,OK,NA,NA,NA,NA,NA,NA,NA,M,"Eyed,",BROWN,4,0.4,LIGHT ORANGE,2,NA,12,ovigerous,2020-10
10/20/20,October,2020,IM,Trap,5,1,BOCOURTI,F,hard,"R4,R5,L3L5",53.91,76.54,92.77,47.47,33.09,36.97,13.15,m,eyed,BROWN,4,0.87,BEIGE,1,1.613800779,12,ovigerous,2020-10
10/21/20,October,2020,DY,Trap,5,1,SAPIDUS,F,hard,OK,91.18,86.51,107.8,50.69,36.42,50.11,17.41,m,Eyed,BROWN,4,0.94,ORANGE,3,1.030927835,12,ovigerous,2020-10
10/20/20,October,2020,AP,Trap,5,1,BOCOURTI,F,hard,OK,72,57,95,49,34,43.2,13,m,Hatching,BROWN,4,0.7,LIGHT ORANGE,2,0.972222222,12,ovigerous,2020-10
10/20/20,October,2020,IM,Trap,5,1,BOCOURTI,F,hard,OK,103,60.3,98,51,37,44.3,17.3,M,Eyed,BROWN,4,0.8,LIGHT ORANGE,2,0.776699029,12,ovigerous,2020-10
10/21/20,October,2020,AP,Trap,5,1,SAPIDUS,F,hard,OK,115.6,99.26,122.92,57.92,41.29,55.42,20.43,M,no old,PRIOR SPAWN,5,15.76,ORANGE,3,13.63321799,15,ovigerous,2020-10
10/21/20,October,2020,AP,Trap,5,1,SAPIDUS,F,hard,R1,110.76,103.83,130.41,61.89,43.35,56.98L,18.87,M,no old ones,PRIOR SPAWN,5,11.27,ORANGE,3,10.17515349,15,ovigerous,2020-10
10/20/20,October,2020,BC,Trap,5,1,SIMILIS,F,hard,OK,89.25,93.63,115.22,52.35,36.64,51.68,16.77,M,no old ones,PRIOR SPAWN,5,9.01,ORANGE,3,10.0952381,15,ovigerous,2020-10
10/20/20,October,2020,DY,Trap,5,1,SAPIDUS,F,hard,"R1, R3, L2",67.25,88.19,118.85,55.09,36.82,49.91,16.77,M,no old,PRIOR SPAWN,5,6.59,ORANGE,3,9.799256506,15,ovigerous,2020-10
10/21/20,October,2020,AP,Trap,5,1,SIMILIS,F,hard,OK,98.09,92.06,110.11,55.31,37.72,53.87,19.36,M,old eggs on apron,PRIOR SPAWN,5,3.85,ORANGE,3,3.924966867,15,ovigerous,2020-10
10/20/20,October,2020,IM,Trap,5,1,ORNATUS,F,hard,OK,159.79,106.32,125.8,65.93,46.31,63.21,20.97,M,no old ones,PRIOR SPAWN,5,4.95,ORANGE,3,3.097815883,15,ovigerous,2020-10
1/20/21,January,2021,AP,Trap,5,1,SAPIDUS,F,H,-,107.07,103,130,64,42,59,18,M,OLD,PRIOR SPAWN,5,2.88,NA,3,2.689829084,15,ovigerous,2021-01
4/19/21,April,2021,AP,Trap,5,1,BOCOURTI,F,H,"R1,2,4",70.87,82.76,92.91,51.52,31.36,44.17,14.87,M,OLD,PRIOR SPAWN,5,1.69,ORANGE,3,2.384647947,15,ovigerous,2021-04
10/20/20,October,2020,AP,Trap,5,1,SAPIDUS,F,hard,OK,77,65,108,51.2,35.3,45,17,M,Empty egg cases,PRIOR SPAWN,5,1.7,ORANGE,3,2.207792208,15,ovigerous,2020-10
10/20/20,October,2020,DY,Trap,5,1,ORNATUS,F,hard,R1,65.92,79.16,95.01,49.04,32.02,43.28L,12.71,M,old eggs on apron,PRIOR SPAWN,5,1.45,ORANGE,3,2.199635922,15,ovigerous,2020-10
4/19/21,April,2021,BC,Trap,5,1,BOCOURTI,F,H,OK,100.29,87.03,97.44,53.23,36.83,48.17,18.92,M,OLD,PRIOR SPAWN,5,2.09,ORANGE,3,2.083956526,15,ovigerous,2021-04
10/20/20,October,2020,IM,Trap,5,1,BOCOURTI,F,hard,R1,59.46,80.4,98.47,48.44,35.46,39.48,12.59,m,just released,PRIOR SPAWN,5,1.13,LIGHT ORANGE,2,1.900437269,15,ovigerous,2020-10
10/21/20,October,2020,AP,Trap,5,1,SAPIDUS,F,hard,OK,124.37,103.45,125.56,59.1,40.85,56.66,20.76,M,no old ones,PRIOR SPAWN,5,2.07,ORANGE,3,1.664388518,15,ovigerous,2020-10
10/21/20,October,2020,AP,Trap,5,1,BOCOURTI,F,hard,"R1R3,R4, L1. BIT FIN LEG",73.57,93.09,114.8,55.35,41.1,X,X,M,OLD eggs on apron,PRIOR SPAWN,5,1.2,LIGHT ORANGE,2,1.631099633,15,ovigerous,2020-10
10/20/20,October,2020,AP,Trap,5,1,SAPIDUS,F,hard,"R1,2",111,76,126,59,42.3,55,21,m,Empty egg cases,PRIOR SPAWN,5,1.8,ORANGE,3,1.621621622,15,ovigerous,2020-10
10/21/20,October,2020,AP,Trap,5,1,ORNATUS,F,hard,OK,79.16,87.58,110.01,51.81,34.86,46.25,16.46,M,no old ones,PRIOR SPAWN,5,1.2,ORANGE,3,1.51591713,15,ovigerous,2020-10
4/21/21,April,2021,AP,Trap,5,1,SAPIDUS,F,NA,OK,84.52,89.78,115.07,60.77,40.49,45.62,13.08,M,OLD,PRIOR SPAWN,5,1.09,LIGHT ORANGE,2,1.289635589,15,ovigerous,2021-04
7/14/21,July,2021,BC,Trap,5,1,SAPIDUS,F,H,R1,163.55,107.47,146.63,68.47,50.9,74.83,18.43,M,S,PRIOR SPAWN,5,1.31,ORANGE,3,0.800978294,15,ovigerous,2021-07
7/15/21,July,2021,BC,Trap,5,1,ORNATUS,F,H,-,72.72,81.43,90.85,49.95,35.49,45.03,16.17,M,OLD,PRIOR SPAWN,5,0.56,LIGHT ORANGE,2,0.770077008,15,ovigerous,2021-07
10/20/20,October,2020,AP,Trap,5,1,SAPIDUS,F,hard,OK,62,72,109,51,37,45,16,M,Empty egg cases,PRIOR SPAWN,5,0.2,WHITE,1,0.322580645,15,ovigerous,2020-10
10/13/21,October,2021,AP,Trap,5,1,ORNATUS,F,NA,R1,33.5,68.8,81.9,40.4,27.9,41.5,13.4,M,N,ABSENT,0,7.88,DARK ORANGE,3,23.52238806,18,non-ovigerous,2021-10
10/13/21,October,2021,BC,Trap,5,1,ORNATUS,F,NA,MAT,43.6,73.2,92.2,40,31.1,43.4,14.4,M,N,ABSENT,0,7.78,DARK ORANGE,3,17.8440367,18,non-ovigerous,2021-10
7/14/21,July,2021,DY,Trap,5,1,ORNATUS,F,H,OK,134.25,100.06,121.13,61.17,34.48,56.68,17.75,M,N,ABSENT,0,20.38,DARK ORANGE,3,15.18063315,18,non-ovigerous,2021-07
7/13/21,July,2021,IM,Trap,5,1,BOCOURTI,F,H,R4,58.85,80.95,92.2,49.79,36.61,41.11,14.44,M,N,ABSENT,0,7.55,DARK ORANGE,3,12.82922685,18,non-ovigerous,2021-07
10/20/20,October,2020,AP,Trap,5,1,BOCOURTI,F,hard,OK,71,67.1,98.79,50.04,36,42.2,15.2,m,absent,ABSENT,0,8.6,DARK ORANGE,3,12.11267606,18,non-ovigerous,2020-10
7/14/21,July,2021,DY,Trap,5,1,ORNATUS,F,H,DIRTY,91.06,87.79,101.12,55.6,31.16,52.22,16.65,M,N,ABSENT,0,10.88,DARK ORANGE,3,11.94816604,18,non-ovigerous,2021-07
10/15/21,October,2021,AP,Trap,5,1,BOCOURTI,F,NA,OK,78.63,86.26,104.92,54.61,38.98,45.21,13.44,M,N,ABSENT,0,9.05,ORANGE,3,11.50960193,18,non-ovigerous,2021-10
10/14/21,October,2021,DY,Trap,5,1,BOCOURTI,F,NA,OK,66.26,82.46,98.94,49.09,36.92,42.45,15.84,M,N,ABSENT,0,7.48,ORANGE,3,11.28886206,18,non-ovigerous,2021-10
7/14/21,July,2021,IM,Trap,5,1,BOCOURTI,F,H,OK,79.06,95.54,102.18,51.15,30.05,50.04,13.32,M,N/A,ABSENT,0,8.88,DARK ORANGE,3,11.23197571,18,non-ovigerous,2021-07
7/13/21,July,2021,DY,Trap,5,1,BOCOURTI,F,H,OK,81.64,88.76,104.41,52.86,36.97,48.53,14.39,M,N,ABSENT,0,8.86,ORANGE,3,10.85252327,18,non-ovigerous,2021-07
10/14/21,October,2021,DY,Trap,5,1,BOCOURTI,F,NA,OK,94.72,91.56,111.7,55.51,38.78,48.48,16.92,M,N,ABSENT,0,10.23,ORANGE,3,10.80025338,18,non-ovigerous,2021-10
4/21/21,April,2021,IM,Trap,5,1,ORNATUS,F,H,OK,80.77,86.07,106.96,60.51,39.31,45.4,15.51,M,N,ABSENT,0,8.54,ORANGE,3,10.57323264,18,non-ovigerous,2021-04
1/20/21,January,2021,AP,Trap,5,1,SAPIDUS,F,H,-,96.24,98,118,59,45,58,16,M,N,ABSENT,0,10.08,DARK ORANGE,3,10.47381546,18,non-ovigerous,2021-01
10/13/21,October,2021,BC,Trap,5,1,SIMILIS,F,NA,"R1,R2",42.52,74.51,95.66,43.45,32.85,40.9,12.61,M,N,ABSENT,0,4.37,DARK ORANGE,3,10.27751646,18,non-ovigerous,2021-10
7/15/21,July,2021,AP,Trap,5,1,BOCOURTI,F,H,OK,69.65,80.01,90.06,48.82,26.69,45.56,17.76,M,N,ABSENT,0,7.14,DARK ORANGE,3,10.25125628,18,non-ovigerous,2021-07
10/20/20,October,2020,AP,Trap,5,1,BOCOURTI,F,hard,L1,73,72,105,53,37,46,13,m,absent,ABSENT,0,7.4,DARK ORANGE,3,10.1369863,18,non-ovigerous,2020-10
10/13/21,October,2021,DY,Trap,5,1,BOCOURTI,F,NA,"R1,L1",63.6,83.7,100,50.5,35.1,NA,NA,M,N,ABSENT,0,6.26,BEIGE,1,9.842767296,18,non-ovigerous,2021-10
1/20/21,January,2021,AP,Trap,5,1,SAPIDUS,F,H,R1,97.42,95,120,55,40,54,16,M,N,ABSENT,0,9.58,ORANGE,3,9.833709711,18,non-ovigerous,2021-01
7/13/21,July,2021,IM,Trap,5,1,BOCOURTI,F,H,OK,74.45,84.41,103.25,51.1,37.84,43.3,15.47,M,N,ABSENT,0,7.31,DARK ORANGE,3,9.818670248,18,non-ovigerous,2021-07
7/13/21,July,2021,IM,Trap,5,1,BOCOURTI,F,H,OK,73.19,83.96,98.54,51.77,34.35,50.98,13.75,M,N,ABSENT,0,6.9,DARK ORANGE,3,9.42751742,18,non-ovigerous,2021-07
4/20/21,April,2021,IM,Trap,5,1,BOCOURTI,F,H,OK,83.37,86.77,106.22,54.12,36.15,51.11,13.64,M,N,ABSENT,0,7.78,DARK ORANGE,3,9.331893967,18,non-ovigerous,2021-04
1/20/21,January,2021,AP,Trap,5,1,SAPIDUS,F,H,R1,85.97,95,121,50,40,47,10,M,N,ABSENT,0,8.012,ORANGE,3,9.319530069,18,non-ovigerous,2021-01
10/21/20,October,2020,AP,Trap,5,1,SAPIDUS,F,hard,R2,101.57,96.32,123.22,56.62,40.68,50.72,16.52,M,absent,ABSENT,0,9.34,ORANGE,3,9.195628631,18,non-ovigerous,2020-10
10/13/21,October,2021,BC,Trap,5,1,ORNATUS,F,NA,L1,44.87,75.2,94.69,43.02,32.33,17.11,41.47,M,N,ABSENT,0,4.1,DARK ORANGE,3,9.137508357,18,non-ovigerous,2021-10
1/20/21,January,2021,AP,Trap,5,1,SAPIDUS,F,H,-,167.63,115,141,66,47,65,22,M,N,ABSENT,0,15.03,ORANGE,3,8.966175506,18,non-ovigerous,2021-01
7/15/21,July,2021,IM,Trap,5,1,ORNATUS,F,H,OK,74.16,85.73,100.37,52.4,38.91,41.06,15.26,M,N,ABSENT,0,6.34,DARK ORANGE,3,8.549083064,18,non-ovigerous,2021-07
1/20/21,January,2021,AP,Trap,5,1,SAPIDUS,F,H,L5 BROKen abdomen,104.2,96,122,59,42,56,18,M,N,ABSENT,0,8.365,BEIGE,1,8.027831094,18,non-ovigerous,2021-01
10/13/21,October,2021,AP,Trap,5,1,BOCOURTI,F,NA,OK,80.62,84.95,101.16,55.22,38.41,47.11,14.79,M,N,ABSENT,0,6.32,ORANGE,3,7.839245845,18,non-ovigerous,2021-10
10/13/21,October,2021,DY,Trap,5,1,BOCOURTI,F,NA,"L5,R3 CRACKED CARAPACE",63.4,81.8,97.4,49.5,33.4,42.1,12.4,M,N,ABSENT,0,4.97,DARK ORANGE,3,7.839116719,18,non-ovigerous,2021-10
10/14/21,October,2021,BC,Trap,5,1,ORNATUS,F,NA,"R1,L2",48.7,77.9,98.9,45.4,33.2,46.1,14.1,M,N,ABSENT,0,3.8,ORANGE,3,7.802874743,18,non-ovigerous,2021-10
10/13/21,October,2021,AP,Trap,5,1,BOCOURTI,F,NA,CRACKED APRON,106.1,95,116.2,59.9,38.1,67.6,17.4,M,N,ABSENT,0,8.18,ORANGE,3,7.709707823,18,non-ovigerous,2021-10
10/15/21,October,2021,AP,Trap,5,1,SAPIDUS,F,NA,OK,94.11,92.42,117.04,55.16,40.44,49.96,18.7,M,N,ABSENT,0,7.02,ORANGE,3,7.459356073,18,non-ovigerous,2021-10
10/20/20,October,2020,AP,Trap,5,1,SAPIDUS,F,hard,R3,94.4,75,125.42,56.11,41.4,50,16.6,M,absent,ABSENT,0,7,ORANGE,3,7.415254237,18,non-ovigerous,2020-10
10/14/21,October,2021,AP,Trap,5,1,ORNATUS,F,NA,R1,86.8,88.6,105.6,57.2,41.5,52.6,15,M,N,ABSENT,0,6.38,DARK ORANGE,3,7.350230415,18,non-ovigerous,2021-10
1/20/21,January,2021,AP,Trap,5,1,BOCOURTI,F,H,DefoRmed fin,84.5,89,101,57,36,53,17,M,N,ABSENT,0,6.2,WHITE,1,7.337278107,18,non-ovigerous,2021-01
1/19/21,January,2021,IM,Trap,5,1,BOCOURTI,F,H,"L1,3,4 - R3",68.7,82.48,100.56,51.17,37.07,44.52,12.3,M,N,ABSENT,0,5,ORANGE,3,7.278020378,18,non-ovigerous,2021-01
7/13/21,July,2021,AP,Trap,5,1,SIMILIS,F,H,OK,32.07,65.53,82.25,33.75,28.81,34.35,12.23,M,N,ABSENT,0,2.3,DARK ORANGE,3,7.171811662,18,non-ovigerous,2021-07
10/14/21,October,2021,DY,Trap,5,1,BOCOURTI,F,NA,OK,68.11,78.2,87.2,49,37.3,47.7,12.2,M,N,ABSENT,0,4.88,DARK ORANGE,3,7.164880341,18,non-ovigerous,2021-10
10/15/21,October,2021,AP,Trap,5,1,ORNATUS,F,NA,OK,37.1,67.4,86.1,39.1,30.6,41.3,12.7,M,N,ABSENT,0,2.65,DARK ORANGE,3,7.142857143,18,non-ovigerous,2021-10
7/13/21,July,2021,BC,Trap,5,1,SIMILIS,F,H,OK,49.02,72.05,92.87,42.12,27.94,46.82,14.82,M,N,ABSENT,0,3.34,ORANGE,3,6.813545492,18,non-ovigerous,2021-07
7/13/21,July,2021,AP,Trap,5,1,BOCOURTI,F,H,R4,68.54,82.5,100.17,49.64,35.32,47.8,12.55,M,N,ABSENT,0,4.64,ORANGE,3,6.769769478,18,non-ovigerous,2021-07
1/20/21,January,2021,AP,Trap,5,1,SAPIDUS,F,H,L1,73.97,88,110,50,35,50,16,M,N,ABSENT,0,4.917,ORANGE,3,6.647289442,18,non-ovigerous,2021-01
10/13/21,October,2021,AP,Trap,5,1,BOCOURTI,F,NA,MAT,116.4,102,121.9,61.1,42,59.5,27.8,M,N,ABSENT,0,7.71,DARK ORANGE,3,6.62371134,18,non-ovigerous,2021-10
1/20/21,January,2021,AP,Trap,5,1,SAPIDUS,F,H,R1,116,101.18,123.74,57.25,42.43,51.85,17.47,M,N,ABSENT,0,7.65,ORANGE,3,6.594827586,18,non-ovigerous,2021-01
10/13/21,October,2021,AP,Trap,5,1,SAPIDUS,F,NA,OK,77.89,89.26,113.31,51.8,37.61,49.89,17.25,M,N,ABSENT,0,5.1,ORANGE,3,6.547695468,18,non-ovigerous,2021-10
4/21/21,April,2021,AP,Trap,5,1,BOCOURTI,F,H,OK,120.16,92.39,106.11,54.75,36.99,53.22,17.36,M,N,ABSENT,0,7.72,DARK ORANGE,3,6.424766977,18,non-ovigerous,2021-04
10/14/21,October,2021,AP,Trap,5,1,SAPIDUS,F,NA,R4,114.1,97.5,124.8,56.9,40.6,58.3,18.8,M,N,ABSENT,0,7.33,ORANGE,3,6.424189308,18,non-ovigerous,2021-10
1/20/21,January,2021,AP,Trap,5,1,SAPIDUS,F,H,-,130.35,108,128,66,45,61,20,M,N,ABSENT,0,8.34,BEIGE,1,6.398158803,18,non-ovigerous,2021-01
10/21/20,October,2020,IM,Trap,5,1,BOCOURTI,F,hard,OK,68.92,80.8,96.01,49.4,36.22,43.96,14.44,m,absent,ABSENT,0,4.3,ORANGE,3,6.239117818,18,non-ovigerous,2020-10
1/20/21,January,2021,AP,Trap,5,1,SAPIDUS,F,H,"L1,2,3",135.42,105,130,65,43,58,23,M,N,ABSENT,0,8.34,DARK ORANGE,3,6.158617634,18,non-ovigerous,2021-01
10/21/20,October,2020,DY,Trap,5,1,SAPIDUS,F,hard,R2 L1,109.47,97.64,119.27,56.25,40.1,55.44,18.46,M,NA,ABSENT,0,6.71,ORANGE,3,6.129533205,18,non-ovigerous,2020-10
1/20/21,January,2021,AP,Trap,5,1,SAPIDUS,F,H,-,94.1,97,118,57,40,54,16,M,N,ABSENT,0,5.73,WHITE,1,6.089266738,18,non-ovigerous,2021-01
10/14/21,October,2021,AP,Trap,5,1,SAPIDUS,F,NA,OK,107.23,97.9,124.87,56.47,41.56,55.6,16.98,M,N,ABSENT,0,6.42,ORANGE,3,5.987130467,18,non-ovigerous,2021-10
4/19/21,April,2021,AP,Trap,5,1,BOCOURTI,F,H,L1,57.05,76.44,88.13,51.4,33.88,43.08,13.47,M,N,ABSENT,0,3.32,ORANGE,3,5.819456617,18,non-ovigerous,2021-04
1/20/21,January,2021,AP,Trap,5,1,SAPIDUS,F,H,-,74.17,90,108,50,36,44,15,M,N,ABSENT,0,4.3,LIGHT ORANGE,2,5.797492248,18,non-ovigerous,2021-01
4/21/21,April,2021,AP,Trap,5,1,BOCOURTI,F,H,"L2, R3, L and R damage to cLaw",79.12,81.52,94.14,50.62,31.37,45.06,13.85,M,N,ABSENT,0,4.45,DARK ORANGE,3,5.624368049,18,non-ovigerous,2021-04
1/20/21,January,2021,AP,Trap,5,1,SAPIDUS,F,H,R1 - L2,92.26,96,119,55,40,49,15,M,N,ABSENT,0,5.122,LIGHT ORANGE,2,5.551701713,18,non-ovigerous,2021-01
10/20/20,October,2020,AP,Trap,5,1,BOCOURTI,F,hard,OK,71,64,98.2,51,35,44,15,m,absent,ABSENT,0,3.9,DARK ORANGE,3,5.492957746,18,non-ovigerous,2020-10
10/15/21,October,2021,AP,Trap,5,1,ORNATUS,F,NA,OK,54.99,78.48,100.8,46.34,33.87,40.29,12.64,M,N,ABSENT,0,3.02,DARK ORANGE,3,5.49190762,18,non-ovigerous,2021-10
